date,T10m,RH10m,p10m,p_NN10m
2019-02-07 15:40:00,-0.03816666666666679,57.92049999999999,833.799999999992,1018.2271666666688
2019-02-07 15:50:00,-0.12450000000000006,60.319999999999965,833.8134999999928,1018.3271666666733
2019-02-07 16:00:00,-0.41866666666667085,62.04283333333336,833.8480000000078,1018.5628333333287
2019-02-07 16:10:00,-0.3533333333333353,56.60433333333332,833.9138333333362,1018.5973333333378
2019-02-07 16:20:00,0.14466666666666655,54.31116666666662,834.0,1018.2904999999964
2019-02-07 16:30:00,0.400666666666667,54.40416666666666,834.0628333333232,1018.1934999999959
2019-02-07 16:40:00,0.2769999999999996,56.490499999999955,834.1344999999966,1018.381333333338
2019-02-07 16:50:00,0.24166666666666706,65.70849999999994,834.1723333333418,1018.4533333333414
2019-02-07 17:00:00,-0.13450000000000098,70.41816666666665,834.2973333333256,1018.8508333333351
2019-02-07 17:10:00,-0.23033333333333422,72.77799999999995,834.299999999992,1018.9543333333326
2019-02-07 17:20:00,-0.6371666666666652,73.33849999999987,834.2216666666754,1019.1771666666607
2019-02-07 17:30:00,-0.9436666666666741,76.86749999999998,834.200000000008,1019.4053333333355
2019-02-07 17:40:00,-1.0890000000000122,74.03583333333323,834.1835000000075,1019.484999999992
2019-02-07 17:50:00,-1.2030000000000085,75.2734999999999,834.200000000008,1019.6129999999885
2019-02-07 18:00:00,-1.0401666666666618,71.75450000000002,834.1355,1019.4074999999963
2019-02-07 18:10:00,-0.8980000000000012,72.1923333333335,834.116499999991,1019.310666666674
2019-02-07 18:20:00,-1.0836666666666794,73.28883333333347,834.1830000000056,1019.4660000000023
2019-02-07 18:30:00,-1.1468333333333405,74.10350000000008,834.1323333333263,1019.4578333333453
2019-02-07 18:40:00,-1.1418333333333377,74.91066666666671,834.0971666666577,1019.4268333333432
2019-02-07 18:50:00,-1.0019999999999907,72.75766666666665,834.099999999991,1019.3289999999882
2019-02-07 19:00:00,-1.0970000000000095,76.43149999999991,834.1031666666588,1019.437166666665
2019-02-07 19:10:00,-1.2079999999999997,78.9181666666666,834.1985000000079,1019.5664999999921
2019-02-07 19:20:00,-1.2905000000000184,77.79900000000002,834.1093333333245,1019.5834999999989
2019-02-07 19:30:00,-1.1768333333333356,77.50316666666663,834.1093333333276,1019.4855000000034
2019-02-07 19:40:00,-0.989666666666676,76.89383333333332,834.200000000008,1019.4008333333348
2019-02-07 19:50:00,-1.0338333333333294,77.63900000000002,834.2503333333296,1019.5143333333339
2019-02-07 20:00:00,-1.1249999999999993,80.39616666666657,834.3303333333372,1019.6833333333274
2019-02-07 20:10:00,-1.0590000000000064,83.12466666666658,834.4748333333328,1019.8345000000062
2019-02-07 20:20:00,-1.3566666666666605,86.48583333333335,834.4496666666776,1020.0108333333367
2019-02-07 20:30:00,-1.3851666666666778,86.6701666666666,834.400000000009,1019.9983333333284
2019-02-07 20:40:00,-1.5960000000000012,86.38049999999998,834.3955000000074,1020.1219999999997
2019-02-07 20:50:00,-1.6646666666666685,87.86183333333334,834.2794999999967,1020.0668333333243
2019-02-07 21:00:00,-1.9173333333333338,88.83033333333329,834.3280000000019,1020.3091666666788
2019-02-07 21:10:00,-1.8389999999999922,88.66266666666661,834.299999999992,1020.2136666666619
2019-02-07 21:20:00,-1.6716666666666868,89.17216666666648,834.3725000000059,1020.1856666666754
2019-02-07 21:30:00,-1.8326666666666573,88.40183333333327,834.6500000000033,1020.6426666666757
2019-02-07 21:40:00,-2.345666666666662,87.23016666666663,834.9728333333251,1021.440333333336
2019-02-07 21:50:00,-3.332833333333336,90.78966666666672,835.2476666666637,1022.547166666667
2019-02-07 22:00:00,-4.046333333333345,93.29316666666651,835.3853333333361,1023.2879999999982
2019-02-07 22:10:00,-4.347166666666714,95.49616666666662,835.4820000000036,1023.6204999999906
2019-02-07 22:20:00,-4.3701666666667265,95.91166666666663,835.5,1023.6674999999965
2019-02-07 22:30:00,-4.038166666666704,97.71916666666662,835.5801666666605,1023.5003333333391
2019-02-07 22:40:00,-3.6938333333333486,98.29499999999986,835.6016666666583,1023.286333333325
2019-02-07 22:50:00,-3.2859999999999916,98.00699999999982,835.74933333333,1023.1111666666537
2019-02-07 23:00:00,-3.2105000000000214,98.01583333333329,835.799999999992,1023.1326666666629
2019-02-07 23:10:00,-3.138833333333308,97.36949999999969,835.8903333333423,1023.1811666666621
2019-02-07 23:20:00,-3.1388333333333116,97.77649999999997,835.9043333333414,1023.2174999999986
2019-02-07 23:30:00,-3.1018333333333037,98.71583333333336,835.9774999999996,1023.2668333333329
2019-02-07 23:40:00,-3.107333333333301,98.0485,835.9846666666703,1023.2633333333245
2019-02-07 23:50:00,-3.0571666666666735,97.21633333333357,835.9628333333321,1023.221833333337
2019-02-08 00:00:00,-3.0008333333333335,97.38799999999988,836.0114999999973,1023.2516666666769
2019-02-08 00:10:00,-3.0846666666666374,97.19733333333336,836.0440000000016,1023.2924999999924
2019-02-08 00:20:00,-3.0951666666666373,97.23066666666669,836.025499999994,1023.3124999999981
2019-02-08 00:30:00,-3.1818333333333606,97.45700000000029,836.043500000002,1023.3933333333451
2019-02-08 00:40:00,-3.3613333333333633,96.97099999999988,835.9050000000085,1023.3616666666735
2019-02-08 00:50:00,-3.400000000000026,96.82479201331127,835.9000000000091,1023.392678868565
2019-02-08 01:00:00,-3.394841930116503,97.41264559068226,835.9014975041688,1023.4405990016727
2019-02-08 01:10:00,-3.3981666666667034,97.42116666666651,835.9551666666649,1023.4761666666625
